geography,legislation,topic,subtopic,new_topic,new_subtopic,flexible_fund,program,summary_description,program_description, allocation ,amount_exact,percent_spent,agency,source,source_url,current_as_of,expiration,is_expired
Cook County,ARPA State and Local Fiscal Recovery Funds,Housing,Homeowner's Assistance,Housing,Homeowner's Assistance,Yes,Emergency Mortgage Assistance,Support for residents behind on mortgage payments,"The Emergency Mortgage Assistance Program will provide funds to support residents who are behind on mortgage, insurance escrow, and residential real estate tax escrow payments. The program will also fund additional housing services supports to offset foreclosure and further increase household stability.","$1,493,333.40 ",0,NA,Housing Authority of Cook County,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Safety,Returning/Justice Involved Residents,Community Safety,Returning/Justice Involved Residents,Yes,Emergency Re-entry Vouchers,Emergency re-entry voucher program for people leaving Cook County jail and transitioning into housing,"The Justice Advisory Council will administer emergency re-entry vouchers to assist people leaving Cook County Jail in securing safe housing. Currently, approximately 1,100 people in Cook County are kept behind bars after their release date because they cannot find affordable housing.","$4,075,000.00 ",0,NA,Cook County Justice Advisory Council,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,CRRSAA,Housing,Renter's Assistance,Housing,Renter's Assistance,No,Emergency Rental Assistance (ERA1),"Funds for emergency rental housing, including rent and utility assistance and case management","These funds support emergency rental housing. At least 90 percent of awarded funds must be used for direct financial assistance, including rent, rental arrears, utilities and home energy costs, utilities and home energy costs arrears, and other expenses related to housing. Remaining funds are available for housing stability services, including case management and other services intended to keep households stably housed.","$87,013,725.00 ",1,0.31,U.S. Department of the Treasury,"<a href = ""https://www.usaspending.gov/search/?hash=11ed4bfa43e5faac43f82ba275c4b1ff"">U.S. Department of the Treasury Emergency Rental Assistance Program Payments/USA Spending</a>",https://www.usaspending.gov/search/?hash=11ed4bfa43e5faac43f82ba275c4b1ff,1/26/2021,12/31/2022,0
Cook County,CRRSAA,Housing,Renter's Assistance,Housing,Renter's Assistance,No,Emergency Rental Assistance (ERA1),"Funds for emergency rental housing, including rent and utility assistance and case management","These funds support emergency rental housing. At least 90 percent of awarded funds must be used for direct financial assistance, including rent, rental arrears, utilities and home energy costs, utilities and home energy costs arrears, and other expenses related to housing. Remaining funds are available for housing stability services, including case management and other services intended to keep households stably housed.","$72,808,624.10 ",1,NA,U.S. Department of the Treasury,"<a href = ""https://home.treasury.gov/system/files/136/Emergency-Rental-Assistance-Payments-to-States-and-Eligible-Units-of-Local-Government.pdf"">U.S. Department of the Treasury Emergency Rental Assistance Program Payments</a>",https://home.treasury.gov/system/files/136/Emergency-Rental-Assistance-Payments-to-States-and-Eligible-Units-of-Local-Government.pdf,1/26/2021,12/31/2022,0
Illinois,CRRSAA,Housing,Renter's Assistance,Housing,Renter's Assistance,No,Emergency Rental Assistance (ERA1),"Funds for emergency rental housing, including rent and utility assistance and case management","These funds support emergency rental housing. At least 90 percent of awarded funds must be used for direct financial assistance, including rent, rental arrears, utilities and home energy costs, utilities and home energy costs arrears, and other expenses related to housing. Remaining funds are available for housing stability services, including case management and other services intended to keep households stably housed.","$566,275,814.90 ",1,0.973024073,U.S. Department of the Treasury,"<a href = ""https://home.treasury.gov/system/files/136/Emergency-Rental-Assistance-Payments-to-States-and-Eligible-Units-of-Local-Government.pdf"">U.S. Department of the Treasury Emergency Rental Assistance Program Payments</a>",https://home.treasury.gov/system/files/136/Emergency-Rental-Assistance-Payments-to-States-and-Eligible-Units-of-Local-Government.pdf,1/26/2021,12/31/2022,0
Cook County,ARPA,Housing,Renter's Assistance,Housing,Renter's Assistance,No,Emergency Rental Assistance (ERA2),Rental and utility assistance,"These funds can be used for rental and utility assistance to states, territories, counties, and cities to help stabilize renters during the pandemic and help rental property owners continue to cover their costs","$57,610,056.70 ",1,NA,U.S. Department of the Treasury,"<a href = ""https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/emergency-rental-assistance-program/allocations-and-payments"">U.S. Department of the Treasury</a>",https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/emergency-rental-assistance-program/allocations-and-payments,5/7/2021,9/30/2025,0
Illinois,ARPA,Housing,Renter's Assistance,Housing,Renter's Assistance,No,Emergency Rental Assistance (ERA2),Rental and utility assistance,"These funds can be used for rental and utility assistance to states, territories, counties, and cities to help stabilize renters during the pandemic and help rental property owners continue to cover their costs","$477,000,000.00 ",1,NA,U.S. Department of the Treasury,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,9/30/2025,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Housing,Renter's Assistance,Housing,Renter's Assistance,Yes,Emergency Rental Housing Assistance,"Rental and utility assistance, as well as housing services to offset evictions","The Emergency Rental Assistance Program will provide funds to support residents who are behind on rent, utilities, and household expenses and will cover forward rent to support renter household stability. The program will also fund additional housing services and supports to offset evictions and further increase household stability. Cook County will administer this program in partnership with the Housing Authority of Cook County.","$1,493,333.40 ",0,NA,Housing Authority of Cook County,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,ARPA ,Housing,Renter's Assistance,Housing,Renter's Assistance,Yes,Emergency Rental Housing Assistance (ERA2),Assistance for households that are unable to pay rent or utilities,Provides funding to assist households that are unable to pay rent or utilities,"$102,200,000.00 ",1,NA,Chicago Department of Housing,"<a href = ""https://www.usaspending.gov/search/?hash=11ed4bfa43e5faac43f82ba275c4b1ff"">U.S. Department of the Treasury Emergency Rental Assistance Program Payments/USA Spending</a>",https://www.usaspending.gov/search/?hash=11ed4bfa43e5faac43f82ba275c4b1ff,9/20/2021,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Community Investment,Infrastructure,Community Investment,Infrastructure,Yes,Environmental justice/hazard reduction program,Pollution and industrial health assessments,Invest in impact assessment capabilities for pollution and residential and industrial hazards in communities that drive inequitable health outcomes for residents,"$8,700,000.00 ",1,NA,Chicago Department of Public Health,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Community Investment,Community Development,Community Investment,Community Development,Yes,Equitable Transit Oriented Development (ETOD) program,Community-driven development near transit,"Advance local housing, public health, climate resiliency and economic recovery goals by supporting community-driven development near transit to foster healthy, walkable, affordable, and accessible communities","$10,000,000.00 ",1,NA,Chicago Department of Planning and Development,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Chicago,ARPA,Workforce Development,Workforce Sustainability,Workforce Development,Workforce Sustainability,No,Expanding the Public Health Workforce,"Funds for establishing, expanding, and sustaining public health workforces","These funds can be used to carry out activities related to establishing, expanding, and sustaining a public health workforce employed by state or local public health departments or non-profit, private, or public organizations with demonstrated expertise in implementing public health programs. Public health departments employ contact tracers, nurses, epidemiologists, community health workers.","$20,521,140.00 ",1,NA,Centers for Disease Control and Prevention,"<a href = ""https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf"">CDC Disease Intervention Specialists Workforce Development Funding</a>",https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf,5/28/2021,12/31/2025,0
Illinois,ARPA,Workforce Development,Workforce Sustainability,Workforce Development,Workforce Sustainability,No,Expanding the Public Health Workforce,"Funds for establishing, expanding, and sustaining public health workforces","These funds can be used to carry out activities related to establishing, expanding, and sustaining a public health workforce employed by state or local public health departments or non-profit, private, or public organizations with demonstrated expertise in implementing public health programs. Public health departments employ contact tracers, nurses, epidemiologists, community health workers","$26,048,340.00 ",1,NA,Centers for Disease Control and Prevention,"<a href = ""https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf"">CDC Disease Intervention Specialists Workforce Development Funding</a>",https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf,5/28/2021,12/31/2025,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Housing,Homelessness Support/Prevention,Housing,Homelessness Support/Prevention,Yes,Fixed-Site Emergency Shelter for People Experiencing Homelessness,Shelter services for people experiencing homelessness,The Bureau of Economic Development will support organizations within the Cook County Continuum of Care to stand up fixed-site shelter in 5-7 locations to provide health and safety to people in a housing crisis who cannot be diverted from homelessness. These organizations will also provide shelter services to ensure their experience of homelessness is short by reconnecting them to housing and other supports.,"$1,493,333.40 ",0,NA,The Bureau of Economic Development,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Community Safety,Victim Supports,Community Safety,Victim Supports,Yes,Gender-based violence reduction,Emergency funds and legal assistance for survivors of gender-based violence,"Assists survivors of gender-based violence through emergency funds, legal assistance, prevention education, housing and other care coordination services","$20,000,000.00 ",1,NA,Chicago Department of Family and Support Services,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Chicago,Chicago General Obligation Bond,Community Safety,Victim Supports,Community Safety,Victim Supports,Yes,Gender-based violence reduction,Emergency funds and legal assistance for survivors of gender-based violence,"Assists survivors of gender-based violence through emergency funds, legal assistance, prevention education, housing and other care coordination services","$5,000,000.00 ",1,NA,Chicago Department of Family and Support Services,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Illinois,ARPA State and Local Fiscal Recovery Funds,Community Investment,Community Development,Community Investment,Community Development,Yes,Grant for Metropolitan Pier and Exposition Authority,Funds supporting recovery efforts for the Metropolitan Pier and Exposition Authority,Funds supporting recovery efforts for the Metropolitan Pier and Exposition Authority,"$30,000,000.00 ",1,NA,Illinois Department of Commerce and Economic Opportunity,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Illinois,ARPA State and Local Fiscal Recovery Funds,Community Investment,Community Development,Community Investment,Community Development,Yes,Grant for Navy Pier,Funds supporting recovery efforts for Navy Pier,Funds supporting recovery efforts for Navy Pier,"$8,000,000.00 ",1,NA,Illinois Department of Commerce and Economic Opportunity,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Illinois,ARPA State and Local Fiscal Recovery Funds,Community Investment,Community Development,Community Investment,Community Development,Yes,Grant for Rosemont Convention Center,Funds supporting recovery efforts for the Rosemont Convention Center,Funds supporting recovery efforts for the Rosemont Convention Center,"$15,000,000.00 ",1,NA,Illinois Department of Commerce and Economic Opportunity,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Illinois,ARPA State and Local Fiscal Recovery Funds,Community Safety,Violence Prevention/Reduction,Community Safety,Violence Prevention/Reduction,Yes,Grant to the Black and Gold Initiative,"The Black and Gold Initiative provides mentoring, educational programming, and violence prevention programming for Black male high school students","The Black and Gold Initiative provides mentoring, educational programming, and violence prevention for black male high school students to attain educational excellence in the Champaign-Urbana area. The grant will support mentoring, education programing, and violence prevention.","$75,000,000.00 ",1,NA,Illinois State Board of Education,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Illinois,ARPA State and Local Fiscal Recovery Funds,Community Safety,Violence Prevention/Reduction,Community Safety,Violence Prevention/Reduction,Yes,Grants for violence prevention programs,Violence prevention programs,These funds support violence prevention programs,"$50,000,000.00 ",1,NA,Illinois Criminal Justice Information Authority,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Household Investment,Direct Cash Assistance,Household Investment,Direct Cash Assistance,Yes,Guaranteed Income Program,Recurring monthly unrestricted payments to a to-be-defined set of residents for at least 12 months to improve participants’ long-term economic stability,The Cook County Guaranteed Income Program will provide recurring monthly unrestricted payments to a to-be-defined set of residents for at least 12 months to improve participants’ long-term economic stability. The Guaranteed Income Program builds on the demonstrated success of guaranteed income programs in other jurisdictions in increasing residents’ financial stability and improving their health outcomes. Cook County’s program will include a research evaluation component to help the County better understand participant impacts.,"$3,587,500.00 ",0,NA,Agency lead not specified,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Safety,Violence Prevention/Reduction,Community Safety,Violence Prevention/Reduction,Yes,Gun Crimes Strategy Unit,Expanding the Gun Crimes Strategy Unit's outreach efforts,The Gun Crimes Strategies Unit (GCSU) embeds Assistant State's Attorneys in six of the most violent police districts in Chicago. Expansion of the Gun Crimes Strategies Unit will allow the Cook County State's Attorney's Office to expand the reach and efforts of the GCSU in order to help combat the rise in violence and shootings within the City and the South Suburbs.,"$5,127,023.71 ",0,NA,Cook County State's Attorney's Office Gun Crimes Strategies Unit,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,ARPA,Household Investment,Household Supportive Services,Household Investment,Household Supportive Services,No,Head Start,"Head Start promotes school readiness of infants, toddlers, and pre-school-aged children from low-income families","Head Start promotes school readiness of infants, toddlers, and pre-school-aged children from low-income families","$51,778,046.00 ",1,NA,U.S. Department of Health and Human Services,"<a href = ""https://www.chicago.gov/city/en/depts/mayor/press_room/press_releases/2021/july/HeadStartEarlyStartAwards.html"">City of Chicago Office of Mayor Lori Lightfoot</a>",https://www.chicago.gov/city/en/depts/mayor/press_room/press_releases/2021/july/HeadStartEarlyStartAwards.html,7/14/2021,12/31/2026,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Safety,Violence Prevention/Reduction,Community Safety,Violence Prevention/Reduction,Yes,Healing Hurt People Chicago,"Funding for Healing Hurt People, a trauma-informed violence intervention program","Healing Hurt People (HHP) is a trauma-informed violence intervention program for survivors of urban intentional violence. HHP works to advance the notion that unaddressed psychological trauma is a key driver of the cycle of violence, fueled by the structural violence of racism and stigma. HHP Chicago's goals are to reduce re-injury, retaliation, and criminal justice involvement by having a positive impact on trauma recovery, mental health, and drug use, and help participants achieve independence, work, education, and create a strong future.","$5,127,023.71 ",0,NA,Cook County Health,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Housing,Homelessness Support/Prevention,Housing,Homelessness Support/Prevention,Yes,High utilizer diversion housing,Behavioral health services to support stable housing for high utilizers of emergency services,Provides behavioral health services to support stable housing for high utilizers of emergency services,"$12,000,000.00 ",1,NA,Chicago Department of Public Health,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Chicago,CARES,Housing,Homelessness Support/Prevention,Housing,Homelessness Support/Prevention,No,Homeless Assistance Grants (Emergency Solution Grants),Homelessness assistance and prevention,"These funds are designated to prevent, prepare for, and respond to the Covid-19 pandemic among individuals and families who are homeless or receiving homeless asssitance, and to support additional homelessness assistance and prevention activities","$54,201,546.00 ",1,NA,U.S. Department of Housing and Urban Development,"<a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf"">U.S. Department of Housing and Urban Development CARES Act Emergency Solutions Grant (ESG) Appropriations</a>",https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf,6/1/2020,12/31/2021,1
Cook County,CARES,Housing,Homelessness Support/Prevention,Housing,Homelessness Support/Prevention,No,Homeless Assistance Grants (Emergency Solution Grants),Homelessness assistance and prevention,"These funds are designated to prevent, prepare for, and respond to the Covid-19 pandemic among individuals and families who are homeless or receiving homeless asssitance, and to support additional homelessness assistance and prevention activities.","$8,862,121.00 ",1,NA,U.S. Department of Housing and Urban Development,"<a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf"">U.S. Department of Housing and Urban Development CARES Act Emergency Solutions Grant (ESG) Appropriations</a>",https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf,6/1/2020,12/31/2021,1
Illinois,CARES,Housing,Homelessness Support/Prevention,Housing,Homelessness Support/Prevention,No,Homeless Assistance Grants (Emergency Solution Grants),Homelessness assistance and prevention,"These funds are designated to prevent, prepare for, and respond to the Covid-19 pandemic among individuals and families who are homeless or receiving homeless asssitance, and to support additional homelessness assistance and prevention activities.","$42,872,975.00 ",1,NA,U.S. Department of Housing and Urban Development,"<a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf"">U.S. Department of Housing and Urban Development CARES Act Emergency Solutions Grant (ESG) Appropriations</a>",https://www.hud.gov/sites/dfiles/CPD/documents/ESG_CARES_Act_Round_2_Allocation_Methodology_rev.pdf,6/1/2020,12/31/2021,1
Illinois,ARPA State and Local Fiscal Recovery Funds,Housing,Homelessness Support/Prevention,Housing,Homelessness Support/Prevention,Yes,Homeless Youth Services,Programs supporting youth experiencing homelessness,Programs supporting youth experiencing homelessness,"$1,000,000.00 ",1,NA,Illinois Department of Human Services,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Cook County,ARPA,Housing,Affordable Housing,Housing,Affordable Housing,No,Homelessness Assistance & Supportive Services (aka HOME-ARP program),"Supportive services, affordable housing, and homeless shelters","Funds to finance supportive services and construct new affordable housing, and for the acquisition of non-congregate shelter spaces for people experiencing homelessness","$23,837,306.00 ",1,NA,U.S. Department of Housing and Urban Development,"<a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf"">U.S. Department of Housing and Urban Development</a>",https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf,4/8/2021,9/30/2025,0
Illinois,ARPA,Housing,Affordable Housing,Housing,Affordable Housing,No,Homelessness Assistance & Supportive Services (aka HOME-ARP program),"Supportive services, affordable housing, and homeless shelters","Funds to finance supportive services and construct new affordable housing, and for the acquisition of non-congregate shelter spaces for people experiencing homelessness","$62,083,824.00 ",1,NA,U.S. Department of Housing and Urban Development,"<a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf"">U.S. Department of Housing and Urban Development</a>",https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf,4/8/2021,9/30/2025,0
Chicago,ARPA,Housing,Homelessness Support/Prevention,Housing,Homelessness Support/Prevention,No,Homelessness Assistance & Supportive Services (HOME-ARP program),"Supportive services, affordable housing, and homeless shelters","These funds can be used to finance supportive services and construct new affordable housing, and for the acquisition of non-congregate shelter spaces for people experiencing homelessness","$71,170,234.00 ",1,NA,U.S. Department of Housing and Urban Development,"<a href = ""https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf"">U.S. Department of Housing and Urban Development</a>",https://www.hud.gov/sites/dfiles/CPD/documents/HOME-ARP.pdf,4/8/2021,9/30/2025,0
Illinois,ARPA State and Local Fiscal Recovery Funds,Housing,Homeowner's Assistance,Housing,Homeowner's Assistance,Yes,Homeowner Assistance Fund,"Funding to help prevent mortgage delinquency, defaults, foreclosures, loss of utilities or home energy services, or homeowner displacement","Provides funding to help prevent mortgage delinquency, defaults, foreclosures, loss of utilities or home energy services, or the displacement of homeowners experiencing financial hardships","$386,903,117.00 ",1,NA,Illinois Housing Development Authority,"<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>",https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf,9/15/2022,12/31/2024,0
Illinois,ARPA,Housing,Homeowner's Assistance,Housing,Homeowner's Assistance,No,Homeowner Assistance Fund,Funds to assist homeowners with delinquent mortgage payments,"This program provides relief for vulnerable homeowners. The law prioritizes homeowners who have experienced the greatest hardships, leveraging local and national income indicators to maximize intended impact. Funds can be used to make delinquent mortgage payments. States must request funds and will receive funds based on their unemployment rate, number of mortgages in foreclosure, and number of mortgages that are past due.","$386,903,117.00 ",1,0.540186912,U.S. Department of the Treasury,"<a href = ""https://home.treasury.gov/system/files/136/HAF-state-territory-data-and-allocations.pdf"">U.S. Department of Treasury Homeowner Assistance Fund Allocations</a>",https://home.treasury.gov/system/files/136/HAF-state-territory-data-and-allocations.pdf,4/14/2021,9/30/2025,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Housing,Homelessness Support/Prevention,Housing,Homelessness Support/Prevention,Yes,Hotel-based sheltering,Hotel-based sheltering for people experiencing homelessness,"The Bureau of Economic Development will continue the hotel-based sheltering approach implemented during the pandemic, when the existing PADS model of shelter with congregate shelter in rotating church basements was no longer viable","$1,493,333.40 ",0,NA,Cook County Bureau of Economic Development,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
Chicago,ARPA State and Local Fiscal Recovery Funds,Household Investment,Household Supportive Services,Household Investment,Household Supportive Services,Yes,Increase access to broadband internet connection,Neighborhood-scale broadband investments,Expands Chicago Connected by funding neighborhood-scale broadband and leverage City assets to increase broadband affordability in communities,"$10,000,000.00 ",1,NA,Office of Budget and Management,"<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Chicago,Chicago General Obligation Bond,Household Investment,Household Supportive Services,Household Investment,Household Supportive Services,Yes,Increase access to broadband internet connection,Neighborhood-scale broadband investments,Expands Chicago Connected by funding neighborhood-scale broadband and leverage City assets to increase broadband affordability in communities,"$18,000,000.00 ",1,NA,Office of Budget and Management,"<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>",https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf,9/20/2021,12/31/2024,0
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Investment,Infrastructure,Community Investment,Infrastructure,Yes,Invest in Cook expansion,Expanding a grant program for transportation infrastructure projects,Invest in Cook is an existing grant program that annually awards $8.5 million to communities to advance local transportation infrastructure projects that implement the priorities of the County's long-range transportation plan and support economic outcomes,"$15,262,107.00 ",0,NA,Cook County Department of Transportation and Highways,"<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>",https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf,2/10/2022,12/31/2024,0
